Application_ID,Beneficiary_ID,Officer_ID,Application_Date,Application_Mode,Documents_Submitted,Income_Certificate,Aadhaar_Verified,Status,Rejection_Reason
APP000001,BEN001825,OFF0004,2025-11-18,CSC Center,Yes,Yes,Yes,Approved,
APP000002,BEN008936,OFF0012,2024-10-04,Online,Yes,Yes,Yes,Approved,
APP000003,BEN003812,OFF0065,2024-07-29,Mobile Camp,Yes,No,Yes,Approved,
APP000004,BEN007360,OFF0076,2026-02-05,Online,Yes,No,No,Approved,
APP000005,BEN004553,OFF0020,2025-02-08,Hospital,Yes,Yes,No,Approved,
APP000006,BEN001585,OFF0046,2025-01-16,Hospital,Yes,No,Yes,Rejected,Address Mismatch
APP000007,BEN006202,OFF0011,2024-12-30,Mobile Camp,No,Yes,Yes,Approved,
APP000008,BEN000751,OFF0085,2024-10-26,Hospital,Yes,Yes,Yes,Approved,
APP000009,BEN006228,OFF0036,2026-02-02,Hospital,Yes,No,No,Approved,
APP000010,BEN003433,OFF0086,2024-09-27,Online,Yes,Yes,Yes,Approved,
APP000011,BEN007574,OFF0049,2025-12-17,Mobile Camp,Yes,No,Yes,Approved,
APP000012,BEN003753,OFF0005,2026-02-05,Hospital,Yes,Yes,No,Rejected,Invalid Aadhaar
APP000013,BEN003484,OFF0084,2026-06-02,District Office,Yes,No,Yes,Approved,
APP000014,BEN004041,OFF0096,2025-09-06,Hospital,No,No,No,Approved,
APP000015,BEN003594,OFF0018,2024-09-15,Online,Yes,Yes,Yes,Approved,
APP000016,BEN002622,OFF0088,2025-10-11,Online,No,No,No,Approved,
APP000017,BEN008670,OFF0033,2025-06-02,Online,Yes,No,No,Under Verification,
APP000018,BEN001828,OFF0038,2024-08-03,District Office,Yes,No,Yes,Approved,
APP000019,BEN008318,OFF0014,2024-08-02,Mobile Camp,Yes,Yes,No,Rejected,Duplicate Application
APP000020,BEN002647,OFF0070,2024-09-20,Mobile Camp,Yes,No,No,Under Verification,
APP000021,BEN000320,OFF0015,2024-12-26,Hospital,Yes,Yes,Yes,Under Verification,
APP000022,BEN009296,OFF0011,2025-01-06,District Office,Yes,Yes,Yes,Pending,
APP000023,BEN007788,OFF0071,2025-08-06,Mobile Camp,No,Yes,Yes,Approved,
APP000024,BEN005108,OFF0052,2025-10-20,Hospital,No,No,Yes,Under Verification,
APP000025,BEN004062,OFF0029,2024-07-30,Online,Yes,Yes,Yes,Pending,
APP000026,BEN001164,OFF0091,2025-09-18,CSC Center,Yes,Yes,No,Approved,
APP000027,BEN001161,OFF0066,2024-12-11,District Office,Yes,Yes,No,Approved,
APP000028,BEN003982,OFF0061,2026-01-17,Online,Yes,No,No,Rejected,Incomplete Documents
APP000029,BEN006940,OFF0053,2025-11-26,Online,Yes,Yes,No,Approved,
APP000030,BEN005560,OFF0014,2026-01-05,CSC Center,No,Yes,No,Approved,
APP000031,BEN003007,OFF0036,2025-09-06,Online,No,Yes,Yes,Approved,
APP000032,BEN008857,OFF0002,2025-05-31,CSC Center,Yes,No,No,Under Verification,
APP000033,BEN007887,OFF0028,2024-12-28,CSC Center,No,Yes,No,Rejected,Income Above Limit
APP000034,BEN004346,OFF0059,2025-06-23,Mobile Camp,No,Yes,Yes,Approved,
APP000035,BEN004862,OFF0028,2025-10-10,Mobile Camp,Yes,No,Yes,Under Verification,
APP000036,BEN000822,OFF0075,2025-02-11,Mobile Camp,Yes,Yes,Yes,Approved,
