Hospital_ID,Hospital_Name,State,District,Latitude,Longitude,Hospital_Type,Beds,Doctors,PMJAY_Empanelled,Rating,Previous_Fraud
HOS0001,Prime Gwalior Multi Speciality Hospital,Madhya Pradesh,Gwalior,15.101864,72.0466,Government,578,21,Yes,2.6,No
HOS0002,National Prayagraj Hospital,Uttar Pradesh,Prayagraj,24.276107,88.764569,Private,449,38,Yes,3.2,No
HOS0003,Aarogya Varanasi Multi Speciality Hospital,Uttar Pradesh,Varanasi,12.508905,95.759179,Government,114,58,Yes,4.6,No
HOS0004,Jan Kalyan Jabalpur Hospital,Madhya Pradesh,Jabalpur,36.220357,78.977497,Private,390,83,Yes,2.7,No
HOS0005,Lotus Mumbai Medical Centre,Maharashtra,Mumbai,33.128026,79.023661,Private,393,30,Yes,3.0,No
HOS0006,District Ujjain Medical Centre,Madhya Pradesh,Ujjain,23.490056,75.099517,Private,296,91,Yes,3.0,No
HOS0007,Lotus Bhopal Hospital,Madhya Pradesh,Bhopal,31.346328,79.633779,Government,600,101,Yes,4.1,No
HOS0008,Apollo Jodhpur Medical Centre,Rajasthan,Jodhpur,15.152198,84.279676,Government,458,84,Yes,3.0,No
HOS0009,LifeCare Vadodara Hospital,Gujarat,Vadodara,32.971984,72.432398,Government,452,86,Yes,3.5,No
HOS0010,Jan Kalyan Rajkot Hospital,Gujarat,Rajkot,27.728219,71.322001,Private,293,108,Yes,2.8,No
HOS0011,Prime Jaipur Multi Speciality Hospital,Rajasthan,Jaipur,36.184755,90.096904,Private,128,90,Yes,4.1,No
HOS0012,Fortis Agra Medical Centre,Uttar Pradesh,Agra,23.641992,90.580168,Private,20,86,Yes,2.5,No
HOS0013,City Care Pune Medical Centre,Maharashtra,Pune,33.462278,95.461534,Government,517,114,Yes,4.4,No
HOS0014,Jan Kalyan Varanasi Medical Centre,Uttar Pradesh,Varanasi,15.686642,93.300558,Private,236,79,Yes,4.2,No
HOS0015,Sanjeevani Kota Care Hospital,Rajasthan,Kota,21.093098,75.189263,Government,41,85,Yes,4.0,Yes
HOS0016,LifeCare Bhopal Hospital,Madhya Pradesh,Bhopal,32.929427,70.054863,Government,517,37,Yes,4.3,No
HOS0017,Sunrise Vadodara Health Center,Gujarat,Vadodara,31.417413,73.521888,Government,461,55,Yes,3.7,No
HOS0018,MediPlus Gwalior Multi Speciality Hospital,Madhya Pradesh,Gwalior,31.217183,71.168802,Government,569,67,Yes,3.0,No
HOS0019,Fortis Jabalpur Care Hospital,Madhya Pradesh,Jabalpur,10.839353,86.912202,Private,35,21,No,4.6,No
HOS0020,Sunrise Ajmer Health Center,Rajasthan,Ajmer,34.170843,72.774477,Government,419,43,No,4.5,No
HOS0021,Shree Vadodara Medical Centre,Gujarat,Vadodara,16.604527,96.092572,Private,575,17,Yes,2.6,No
